name,gender,image,weight,type_name,cat_name
Rite in the Rain Journal Kit Box,,,5.6,otherOptional,Optional
Garcia Bear- Resistant Container,,,44,tools,Optional
BearVault BV500 Food Container,,,41,tools,Optional
Coghlans Six-Function Whistle,,,1,tools,Optional
BlueWater 3mm NiteLine Utility Cord - 50ft,,,3.5,tools,Optional
Nite Ize S-Biner Dual Carabiner Plastic # 4,,,0.42,tools,Optional
Nalgene Flask - 12 fl. oz.,,,4.3,personal,Optional
Bodyglide Anti-Chafe Formula Skin Protectant,,,1.5,personal,Optional
GoGirl,,,9.9,personal,Optional
Diva Cup,,,7.2,personal,Optional
Pee Rag,,,0,personal,Optional
Sea to Summit Aeros Pillow Premium,,,2.8,sleeping,Optional
Cocoon Ultralight Air-Core Pillow,,,10.2,sleeping,Optional
Adventure Medical Kits Hand Sanitizer,,,1.7,personal,Optional
